Part,Color,Quantity
10908pr0003,72,1
973pr2030c01,14,1
973pr2157c01,323,1
970c00pb347,70,3
3899pr0002,15,1
64393,15,1
64393,0,1
93219pr0007,0,1
6087,6,1
6087,0,2
30237a,72,17
30237a,71,1
30237a,70,2
30237a,15,4
30237a,0,1
61195pr02,15,1
3626cpr2030,14,1
2376,0,7
970c00pr0845,148,1
93059,320,2
93059,297,3
93059,19,2
93059,4,6
14395,72,2
14395,70,6
3626cpr1216,70,1
3846pr0005,71,10
970c00pr0309,15,1
11090,297,10
11090,72,17
11090,70,3
11090,19,14
11090,15,2
11090,0,20
3040b,322,4
3040b,321,16
3040b,320,16
3040b,308,67
3040b,288,10
3040b,272,2
3040b,191,2
3040b,182,4
3040b,84,6
3040b,72,126
3040b,71,59
3040b,70,14
3040b,29,1
3040b,28,13
3040b,27,4
3040b,25,14
3040b,19,16
3040b,15,40
3040b,14,4
3040b,7,4
3040b,6,6
3040b,4,27
3040b,2,115
3040b,1,2
3040b,0,28
32017,71,5
32016,71,12
32016,70,10
32016,25,4
32016,15,2
32016,8,4
32016,6,13
32016,0,24
61801,179,4
54821,179,1
54821,143,1
54821,135,4
54821,52,2
54821,42,3
54821,35,5
54821,14,1
54821,10,9
54821,4,6
54821,1,2
93092,84,2
93092,5,1
970c00pr0422,0,2
24779,15,2
970c00pr0720,72,1
99012,72,6
12609pr0001,28,1
87557pr0001b,0,1
970x119,14,1
24131,322,2
18663,47,1
15279,326,100
15279,297,2
15279,10,104
3626cpr2201,14,3
98573,14,1
3626cpr1478,14,1
2587,80,1
3626bpb0914,14,1
3679,71,36
2819,71,3
2819,0,1
3626cpr0677,14,2
3068bpr0327,15,1
3626cpr1658,148,1
14734pr0002b,379,1
10113pr0002,70,1
3957a,71,6
3957a,47,2
3957a,42,9
3957a,0,3
973pr1942c01,4,1
19981pr0002,41,1
2377,4,2
970c00pr1189,1,1
14226c31,0,4
3005pr0006,73,2
970d00pr9999,70,1
21460,85,1
20683pr01,1000,1
90616,320,2
90616,72,8
90616,4,6
90616,0,35
98563,179,1
98563,148,10
98563,4,3
2743,72,6
78c19,41,25
3027,72,2
3027,71,4
3027,2,1
3027,1,1
3027,0,4
43719,320,1
43719,272,3
43719,72,5
43719,57,4
43719,42,1
43719,25,2
43719,15,5
43719,4,3
43719,0,1
64225,322,1
64225,27,3
64225,15,1
64225,4,2
64225,0,1
22385pr0004,57,1
973pr0070c01,326,1
22385pr0029,35,2
3403,7,1
24068pr0001,4,1
27058,0,1
32529,0,5
93231,70,9
3680,15,2
3680,4,2
3680,1,3
3680,0,32
30044,288,53
30044,71,11
30044,70,6
30044,15,4
57539pat0002,47,14
88518,272,1
973pr1197c01,15,2
3624,320,2
3624,272,1
3624,15,1
973pr2839c01,308,1
11213,322,1
11213,71,13
2653,71,12
2653,0,18
19727pr0004,15,1
19903pr0001,14,1
32474pr1007,25,1
92693,71,2
3626cpr2018,323,1
3626cpr1442,179,1
4868a,8,4
57899,0,13
75050stk01,9999,1
53401,72,12
970c00pr1266,15,1
11096,297,1
973pr3316c01,31,1
970c120pr0498,308,1
32294,72,4
32294,0,2
3626cpr1275,78,1
20596pr0001,28,1
6079,15,1
973pr2884c01,72,1
6133,272,4
6133,0,2
970c00pr0525,0,1
19204pr0001,320,3
3626cpr1363,78,1
98989,71,4
13965,320,2
13965,70,20
13965,19,10
13965,15,6
970c00pr1178,0,1
973pr0480c01,15,2
46303pr0001,321,1
970c00pr1035,15,1
973pr2609c01,10,1
90981,15,2
973pr2256c01,326,3
3626cpr2087,78,1
11098,308,2
11098,297,2
11098,41,1
64448,72,25
64448,15,2
3626bpb0149,6,1
26058pr0015,320,1
99781,71,132
99781,15,13
99781,0,60
14210,15,3
14210,0,6
3626cpr1942,92,1
59349,308,1
59349,47,54
59349,19,2
59349,15,2
59349,4,2
12799,72,4
62386,4,2
3626cpr0970,78,1
32293,0,1
19064,297,1
19064,15,1
970c00pr0636,1,1
96204,4,1
17351pr0001,29,3
98384pr0002,71,1
19185,0,1
3626bpr0946,14,1
14520,72,4
14520,15,2
14520,14,2
42060,326,7
42060,72,1
42060,15,2
28870,297,2
88811,179,7
970c00pr0578,308,1
32474,71,3
32474,27,1
32474,19,1
32474,15,102
32474,4,1
32474,0,8
3705,4,2
3705,0,153
3024,326,23
3024,323,2
3024,320,26
3024,297,14
3024,288,200
3024,272,217
3024,191,9
3024,182,46
3024,73,111
3024,72,127
3024,71,191
3024,70,97
3024,47,46
3024,46,41
3024,41,5
3024,36,36
3024,34,47
3024,33,5
3024,29,4
3024,28,28
3024,27,2
3024,26,3
3024,25,19
3024,19,247
3024,15,143
3024,14,42
3024,4,26
3024,2,30
3024,1,27
3024,0,112
4032a,484,10
4032a,308,29
4032a,288,8
4032a,85,1
4032a,84,67
4032a,72,66
4032a,71,72
4032a,70,15
4032a,25,4
4032a,19,18
4032a,15,51
4032a,14,21
4032a,4,27
4032a,2,77
4032a,1,63
4032a,0,51
47759,326,3
47759,320,1
47759,72,4
47759,70,4
47759,0,1
3673,71,193
3673,7,7
55615,71,55
3626bpr0919,78,1
15355,0,9
18927,288,1
18927,4,1
40243,72,5
40243,28,3
11418pr0001,28,3
973pr2021c01,19,1
93217pr0002,308,1
3626bpr0631,78,1
3626cpr1113,78,1
6628,0,58
3706,0,78
32526,72,4
32526,71,11
32526,27,2
32526,25,2
32526,15,16
32526,14,2
32526,4,4
32526,1,12
32526,0,33
32291,72,3
32291,71,7
32291,8,13
32291,6,2
32291,4,5
32291,0,13
4185,72,1
4185,71,6
4185,57,4
4185,47,1
4185,25,4
32278,72,3
32278,71,4
32278,15,3
32278,4,6
32278,0,14
60474,320,4
60474,308,4
60474,297,4
60474,84,5
60474,72,13
60474,71,24
60474,15,10
60474,14,2
60474,4,1
60474,0,25
32271,85,4
32271,73,2
32271,72,6
32271,71,2
32271,25,5
32271,15,6
32271,14,1
32271,8,3
32271,6,2
32271,4,2
32271,1,6
32271,0,8
44294,71,36
32556,71,2
32556,19,55
32005a,0,4
92099,72,7
92099,15,3
92099,0,1
85984,326,6
85984,320,8
85984,191,1
85984,72,73
85984,71,90
85984,70,8
85984,30,4
85984,28,2
85984,27,3
85984,25,16
85984,19,10
85984,15,50
85984,14,57
85984,10,4
85984,4,36
85984,2,52
85984,1,63
85984,0,71
973pr3539c01,212,1
2815,0,6
3626cpr2088,78,1
62531,25,5
62531,15,27
64272,320,1
64272,85,1
64272,0,1
17979,71,2
62537pr0002,4,1
3068bpr0013,15,1
3626cpr2212,14,1
32250,72,6
32250,71,10
32250,15,4
32250,8,2
32250,6,8
32250,0,2
32002,72,35
32002,19,56
32002,8,14
60601,47,278
60601,41,56
4600,84,1
4600,71,6
4600,0,28
11055,320,2
11055,71,6
11055,4,2
6233,71,4
6233,70,1
6233,0,5
3626cpr1110,78,1
27168,72,1
60583a,15,4
98397,71,14
33009pb041,70,1
973pr2357c01,15,1
93062c01,15,6
98594,25,1
61800,484,4
61800,179,4
61800,15,1
75c23,179,2
12939,84,1
12939,71,4
12939,15,6
12939,4,2
973pr2913c01,25,1
3626cpr1991,78,1
973pr2650c01,1,2
973pr2331c01,70,1
970c00pr0530,308,1
64798,72,1
64798,15,1
970c10pr0520,72,3
93549pat03,47,1
41671pat0002,25,1
3069bpr0014,71,1
970c00pr0528,226,1
62696,484,3
62696,308,3
62696,70,1
53403,72,1
970c00pr1267,14,1
2488,0,3
973pr2922c01,72,1
30000,72,6
30000,71,4
30000,1,4
85543,15,6
