Part,Color,Quantity
973pr2692c01,326,2
15443,70,4
973bpb151c01,4,1
973pr2281c01,28,1
50861,0,12
22385pr0028,47,2
970c00pr0709,326,1
11253,15,2
11253,5,2
11253,0,5
970c00pr0539,272,2
970c00pr0539,0,1
16709pat01,321,3
16709pat01,29,1
16709pat01,25,1
16709pat01,4,2
3626cpr2009,15,1
3626bpr1064,14,1
12890,226,1
3626cpr1524,78,1
3626cpr1881,73,1
98382pr0005,0,1
64566,0,3
48002,0,2
3626cpr1580,14,2
87993,25,1
973pr9969c01,326,1
973pr2051c01,4,1
11214,72,98
3298p12,4,4
19064pat0001,297,1
3044c,72,4
3044c,4,1
93273,326,12
93273,320,10
93273,272,19
93273,179,4
93273,72,33
93273,71,26
93273,70,10
93273,27,11
93273,25,12
93273,19,3
93273,15,24
93273,14,6
93273,4,9
93273,2,38
93273,1,8
93273,0,14
3626bpr0747,14,1
970c00pr0922,379,2
973pr2177c01,2,1
87846,288,1
87846,85,2
87846,15,4
87846,1,4
87846,0,6
26090pr0002,191,1
973pr2229c01,212,1
30273,179,1
30273,80,10
3626cpr1286,70,1
32555,0,8
95199,72,31
95199,0,6
88001,72,1
88001,71,1
88001,70,2
12897,27,3
12897,0,1
32173,0,2
17352pr0001,70,1
14769pr1003,15,15
19948,320,2
27962,321,1
53454,148,13
53454,42,3
53454,36,2
27257,57,2
3846pr0004a,179,1
19859pat0011,47,1
91405,72,3
91405,28,1
91405,15,26
91405,10,4
91405,2,2
3940b,0,33
17486,71,2
973pr2016c01,0,1
64453,40,2
973pr3329c01,4,1
973pr3112c01,379,1
61506,70,1
61506,0,1
3626cpr1485,14,1
2446pr0014,15,1
25877,0,1
87619,72,1
87619,15,1
87619,5,1
98722,272,1
970c00pr0529,379,1
3626bpr1065,14,1
973pr2084c01,71,2
61190c,72,4
50860,25,1
50860,4,1
50860,0,1
15523pr0003,14,1
11264pr0001,15,1
98603s02pr0017,19,1
15533,84,29
14149,4,100
4432stk01,9999,2
30359b,72,2
30359b,71,2
30359b,47,1
30359b,0,2
3021,378,3
3021,322,8
3021,288,21
3021,272,15
3021,191,3
3021,85,14
3021,72,116
3021,71,115
3021,70,31
3021,28,3
3021,25,21
3021,19,36
3021,15,24
3021,14,30
3021,4,57
3021,2,31
3021,1,21
3021,0,97
3829c01,71,13
3829c01,14,5
3829c01,4,2
3829c01,1,17
3829c01,0,5
11477,84,41
11477,72,89
11477,71,76
11477,70,24
11477,28,1
11477,27,55
11477,26,8
11477,25,40
11477,19,2
11477,15,28
11477,14,42
11477,4,68
11477,2,248
11477,1,14
11477,0,67
11477,378,8
11477,326,7
11477,322,1
11477,308,33
11477,288,8
11477,272,24
11477,191,4
11477,179,7
11477,85,12
15573,320,14
15573,297,4
15573,272,4
15573,72,39
15573,71,165
15573,70,27
15573,28,9
15573,27,3
15573,19,7
15573,15,33
15573,4,27
15573,2,4
15573,1,2
15573,0,46
44674,15,4
44674,4,3
44674,1,1
60212,27,2
60212,15,2
60212,14,3
60212,0,1
98138pr0019,15,10
57564,27,1
57564,14,1
973pr2775c01,0,1
973pr3675c01,272,1
27967,179,1
20592pr0001,484,1
57539,25,2
57539,15,2
57539,4,4
57539,0,2
57539,179,5
46212,41,1
4519,71,323
4519,14,4
4519,0,35
3065,47,14
3065,46,2
3065,45,5
3065,40,14
3065,36,10
3065,34,2
3065,33,2
3747b,321,1
3747b,72,19
3747b,71,18
3747b,70,2
3747b,25,1
3747b,19,12
3747b,15,9
3747b,4,1
3747b,1,8
3747b,0,18
3005,484,22
3005,379,15
3005,378,121
3005,326,144
3005,322,1
3005,320,39
3005,288,19
3005,272,43
3005,182,5
3005,84,116
3005,73,76
3005,72,88
3005,71,109
3005,70,60
3005,47,16
3005,41,6
3005,29,1
3005,28,23
3005,27,50
3005,25,62
3005,19,60
3005,15,92
3005,14,103
3005,13,1
3005,4,21
3005,2,13
3005,1,4
3005,0,48
4865a,72,2
4865a,71,6
4865a,47,3
4865a,40,1
4865a,36,3
4865a,19,6
4865a,15,2
4865a,14,2
4865a,4,2
4865a,2,4
4865a,1,3
4865a,0,7
62537pr0001,25,1
30361pr0013,15,1
18684pr0001,0,1
3626cpr1240,14,1
3626cpr2114,84,1
20232,9999,1
3626cpr1330,14,1
98107pr0005,72,2
3633,297,7
3633,72,4
3633,0,15
20612,40,1
32310,8,3
33048,484,2
30361dps1,15,1
30367cpr1003,15,1
6182,71,17
6182,19,4
18830pr0001,15,2
973pr2978c01,15,1
98108,0,1
3038,72,4
3038,71,10
3038,15,8
3038,4,1
3038,1,2
3038,0,4
973pr3221c01,297,1
24086,15,1
32059,72,4
32059,71,5
32059,15,1
32059,8,1
32059,2,6
32059,1,2
76766,71,10
76766,1,2
76766,0,7
41748,484,2
41748,72,2
41748,71,4
41748,28,1
41748,27,2
41748,15,2
98575,148,1
98575,27,1
98575,0,1
973pr1729c01,15,1
19981pr0003,41,1
3626bpr0786,78,1
3626cpr2020,14,1
10064,19,1
29635,272,1
47397,288,1
47397,71,12
47397,15,7
47397,0,1
3626cpr1234,14,3
10197,72,40
10197,0,1
47973,72,2
2546,72,2
973pr2379c01,320,1
95227,308,3
23860,33,5
3626cpr0955,14,3
44675,71,4
44675,70,1
44675,0,1
973pr2321c01,272,1
970c00pr1115,0,1
93058,297,2
21562,179,2
21562,19,4
21562,15,4
21562,0,4
973pr9968c01,378,1
4790,70,1
99930,308,1
99930,0,5
970c00pr1172,25,1
7915stk01,9999,1
970c00pr0831,73,1
43710,378,6
43710,326,10
43710,72,2
43710,71,3
43710,28,1
43710,25,1
43710,19,2
43710,15,1
43710,1,3
43710,0,3
970c80pr0480,288,1
98569pr0003,1,1
20475,148,10
64807,308,1
64807,15,2
3626cpr1126,212,1
30248,72,1
3626cpr1767,78,1
3069bpr0133,15,1
30133,4,2
12605,9999,2
6177,2,4
11273,148,6
15498,0,1
16709pat03,320,3
3626cpr2101,4,1
60470a,84,8
60470a,71,64
60470a,15,17
60470a,4,5
60470a,2,1
60470a,0,55
20105,0,4
2431pr0004,71,1
60602,47,121
973pr2841c01,30,1
90202,0,3
3962b,191,1
3962b,0,9
11302pat0002,33,2
973pr1776c01,272,3
11439pat0001,46,7
973pr2616c01,1,1
4490pr0003,1,1
2437,40,2
3626cpr1078,320,1
973pr3255c01,14,1
970c00pr1170,84,1
3626cpr1782,14,1
87079pr0088,15,1
15496pr0001,15,1
61903,71,37
970x321,14,1
32073,71,121
32073,0,7
92081,308,1
92081,84,2
92081,0,4
10187,179,5
4287,288,2
4287,191,4
4287,72,25
4287,71,18
4287,70,5
4287,15,14
4287,4,10
4287,1,2
4287,0,6
3020,484,8
3020,326,5
3020,322,10
3020,320,35
3020,288,130
3020,272,31
3020,191,13
3020,72,155
3020,71,109
3020,70,77
3020,30,2
3020,28,12
3020,27,9
3020,26,4
3020,25,30
3020,19,48
3020,15,100
3020,14,29
3020,5,4
3020,4,39
3020,2,34
3020,1,30
3020,0,108
3626b,47,12
3626b,27,1
3626b,25,1
3626b,15,1
3626b,4,2
3626b,0,1
92456pr0090c01,84,1
3700,72,100
3700,71,49
3700,70,42
3700,19,28
3700,15,27
3700,14,7
3700,7,2
3700,4,8
3700,1,3
3700,0,57
973px138c01,4,1
30554b,0,4
12892pr0001,191,1
973pr3606c01,15,1
3626bpr0760,0,1
973pr2694c01,0,1
3068bpr0014,15,1
14707,71,2
14707,15,2
19946,320,2
970c01pr0475,15,1
3626cpr1123,19,1
41751,40,1
41751,36,1
41751,35,1
25976,308,1
19992,179,2
19992,15,2
973pr2042c01,72,2
6256pr0002,15,1
30356,71,9
30356,15,6
970c00pr0663,4,1
970c00pr1218,212,1
45406,25,2
87614,15,2
3404,7,1
3626cpr2031,14,1
3008,326,26
3008,72,42
3008,71,9
3008,70,5
3008,19,5
3008,15,21
3008,4,2
3005pr0011,19,5
99207,71,155
99207,27,22
99207,25,2
99207,4,18
99207,0,80
4204,72,39
11215,84,2
11215,71,14
11215,1,1
11215,0,4
973pr2511c01,326,2
3475b,0,2
30361dps5,0,1
bb574,14,1
41879bpr0010,29,1
15557pr0001,484,2
87606,36,1
32316,72,12
32316,71,15
32316,15,11
32316,14,1
32316,8,4
32316,6,2
32316,4,17
32316,1,8
32316,0,55
3713,71,203
3713,7,18
3713,4,120
2780,0,1656
32184,71,40
32184,15,2
32184,4,8
32184,0,53
64680,15,1
64680,0,3
2587pr0031,0,2
99773,72,8
99773,71,8
99773,0,12
32123b,71,282
32123b,14,102
32123b,7,45
x494cx1,110,1
x494cx1,15,1
x494cx1,4,1
15744,297,1
32140,72,10
32140,71,22
32140,27,10
32140,25,6
32140,15,5
32140,14,5
32140,8,9
32140,6,4
32140,4,26
32140,1,9
32140,0,54
3626cpr1206,0,1
3708,0,24
75002stk01,9999,1
32054,71,68
32054,8,2
32054,4,19
32054,0,112
4162,272,7
4162,72,28
4162,71,37
4162,70,5
4162,19,1
4162,15,13
4162,4,7
4162,2,1
4162,1,14
4162,0,14
3062b,322,1
3062b,321,12
3062b,320,519
3062b,308,42
3062b,297,2
3062b,72,64
3062b,71,34
3062b,70,91
3062b,57,7
3062b,47,4
3062b,46,37
3062b,42,4
3062b,41,36
3062b,36,19
3062b,34,15
3062b,33,2
3062b,27,15
3062b,19,18
3062b,15,35
3062b,14,17
3062b,6,12
3062b,4,29
3062b,2,7
3062b,1,5
3062b,0,54
2357,320,21
2357,191,14
2357,73,9
2357,72,48
2357,71,26
2357,70,38
2357,19,25
2357,15,26
2357,14,3
2357,8,2
2357,4,6
2357,1,2
2357,0,26
30136,308,18
30136,72,28
30136,71,25
30136,70,73
30136,28,4
30136,19,7
30136,0,9
3039pr0001,15,1
30106,117,1
30106,47,1
973pr0990c01,25,1
970c00pr0318,14,1
3626cpr1735,71,1
6542a,72,2
14295,85,1
76019,15,10
2585,71,11
18905pr0001,288,1
973pr2225c01,19,1
3960pr20,15,5
973pr2323c01,320,1
3626cpr1666,14,1
11252,179,2
11252,15,1
970c00pr0206,15,1
973pr3834c01,71,1
18866,15,1
6865stk01,9999,1
18819pr0001,19,10
3626bpr1175,14,2
3956,71,14
3956,1,1
3956,0,7
2445,320,3
2445,72,13
2445,71,14
2445,70,4
2445,25,1
2445,15,7
2445,8,2
2445,6,1
2445,4,1
2445,1,2
2445,0,13
94448pat0002,34,2
970c00pr0755,272,1
20381pr0001,26,2
3626cpr1831,14,1
18904,288,1
90639pr0013,34,1
11594pr0001,326,2
11594pr0001,320,1
93568pr0001,84,1
47994,0,2
4161,320,5
4161,0,7
3626cpr1479,14,1
87414,0,16
604550,0,2
970c00pr1034,15,1
87693,15,3
15403,320,2
15403,0,13
19981pr0001,41,1
61483,71,4
30526,72,9
30526,71,9
30526,19,5
30526,8,3
15456,71,7
15456,0,57
3703,72,2
3703,71,4
3703,15,2
3703,0,4
30162,297,2
30162,72,42
30162,71,32
30162,4,1
30162,0,1
40490,72,10
40490,71,10
40490,15,3
40490,14,2
40490,4,9
40490,1,2
40490,0,14
24246,71,100
24246,15,113
98302,0,4
20488pr0001,14,1
11597pr0001,41,1
3626cpr1084,0,4
4489,148,2
19086,72,9
973bpb150c01,110,1
92233,297,5
92233,179,1
92233,148,3
92233,72,3
92233,70,2
92233,27,2
92233,15,1
92233,4,2
92233,0,10
3068bpr0250,15,1
3464,72,8
3464,15,7
93590,14,1
88283,484,2
88283,226,1
88283,70,1
88283,0,2
99780,72,169
99780,71,46
99780,15,4
99780,14,4
99780,4,1
99780,2,39
99780,0,53
3069b,484,300
3069b,378,34
3069b,322,14
3069b,321,2
3069b,320,17
3069b,308,40
3069b,272,26
3069b,191,13
3069b,182,28
3069b,85,2
3069b,84,4
3069b,73,32
3069b,72,145
3069b,71,158
3069b,70,31
3069b,47,15
3069b,46,10
3069b,41,33
3069b,40,13
3069b,36,6
3069b,35,3
3069b,33,7
3069b,28,39
3069b,27,2
3069b,25,10
3069b,19,52
3069b,15,82
3069b,14,31
3069b,5,6
3069b,4,24
3069b,2,14
3069b,1,23
3069b,0,56
50747,47,1
57536,42,1
30372,40,1
98721,5,1
98721,0,14
11271,179,6
11271,148,5
50859b,179,1
50859b,0,5
18836pr0001b,148,1
970c00pr0342,71,2
3626cpr1888,78,1
973pr1470c01,1,3
970c00pr0471,15,2
970c00pr0531,4,1
973pr2434c01,288,1
63868,72,57
63868,71,81
63868,70,8
63868,15,6
63868,4,22
63868,1,6
63868,0,109
2412b,320,28
2412b,297,56
2412b,272,60
2412b,182,6
2412b,179,68
2412b,143,30
2412b,85,5
2412b,80,27
2412b,72,157
2412b,71,153
2412b,70,23
2412b,36,9
2412b,25,7
2412b,19,1
2412b,15,8
2412b,14,38
2412b,6,10
2412b,4,9
2412b,3,2
2412b,1,1
2412b,0,136
3832,14,6
3832,4,2
3832,2,2
3832,1,6
3832,0,16
3832,72,21
3832,71,19
3832,70,7
3832,19,4
3832,15,10
3003,378,2
3003,320,2
3003,272,7
3003,84,8
3003,72,91
3003,71,89
3003,70,35
3003,33,5
3003,28,6
3003,27,11
3003,25,55
3003,19,22
3003,15,29
3003,14,13
3003,8,2
3003,6,1
3003,4,14
3003,2,5
3003,1,8
3003,0,37
99206,71,61
99206,15,13
99206,4,1
99206,1,1
99206,0,24
3665,320,9
3665,308,29
3665,191,6
3665,85,4
3665,72,66
3665,71,52
3665,70,33
3665,27,4
3665,25,13
3665,19,4
3665,15,39
3665,14,6
3665,5,6
3665,4,8
3665,2,8
3665,1,14
3665,0,47
3004,10,8
3004,7,10
3004,6,25
3004,5,4
3004,4,35
3004,2,20
3004,1,100
3004,0,37
3004,484,1030
3004,378,11
3004,326,170
3004,321,4
3004,320,206
3004,308,6
3004,288,15
3004,272,227
3004,212,67
3004,191,14
3004,73,60
3004,72,64
3004,71,1441
3004,70,116
3004,28,3
3004,27,50
3004,25,92
3004,19,554
3004,15,110
3004,14,13
970x001,72,2
970x001,27,1
970x001,14,1
6541,72,70
6541,71,24
6541,70,1
6541,19,6
6541,15,16
6541,14,11
6541,8,1
6541,4,17
6541,1,2
6541,0,43
58123a,71,1
3308,72,3
3308,71,1
3308,15,4
4503,80,2
17013pb02,72,2
3849,179,2
3849,0,5
973pr3218c01,0,1
60478,191,8
60478,84,16
60478,72,69
60478,71,114
60478,70,4
60478,15,16
60478,14,13
60478,4,8
60478,1,6
60478,0,122
3899pr0001,15,1
6131pr0006,0,1
95351pr0005,30,1
23985,15,1
13547,4,2
13547,0,18
98590,0,14
87697,0,86
3010,379,26
3010,378,106
3010,326,20
3010,322,2
3010,320,14
3010,288,7
3010,272,35
3010,191,4
3010,73,52
3010,72,40
3010,71,63
3010,70,22
3010,27,50
3010,25,27
3010,19,50
3010,15,49
3010,14,20
3010,7,1
3010,5,2
3010,4,8
3010,2,38
3010,1,4
3010,0,31
30504,72,1
30504,15,4
12825,72,60
12825,71,62
12825,70,8
12825,15,27
12825,14,4
12825,4,3
12825,1,3
12825,0,56
92908,71,4
3456,72,4
3456,71,2
3456,0,1
4274,71,281
4274,7,13
4274,1,272
3710,379,4
3710,378,2
3710,322,3
3710,320,23
3710,288,15
3710,272,17
3710,191,15
3710,73,17
3710,72,167
3710,71,171
3710,70,102
3710,30,2
3710,28,7
3710,27,6
3710,26,3
3710,25,35
3710,19,41
3710,15,101
3710,14,31
3710,10,2
3710,7,1
3710,6,3
3710,4,39
3710,2,60
3710,1,24
3710,0,138
43337,320,2
43337,46,3
43337,40,3
2540,72,58
2540,71,19
2540,25,5
2540,19,11
2540,15,18
2540,14,7
2540,6,13
2540,4,14
2540,1,5
2540,0,84
15976,378,4
15976,179,8
15976,0,10
47297,27,2
47297,14,2
47297,4,2
47398,288,1
47398,71,12
47398,15,7
47398,0,1
973pr2788c01,28,1
98568p03,179,2
3626cpr1647,14,1
rb00170,0,10
99010,0,104
4229,71,2
24124,28,1
24124,0,2
92747pr0003,52,1
13608,179,11
3626cpr1903,4,1
3626cpr0914,14,5
3678bpr0024b,320,1
3030,72,11
3030,71,7
3030,70,4
3030,28,4
3030,19,1
3030,15,1
3030,1,3
3030,0,5
3002,72,36
3002,71,12
3002,70,10
3002,27,4
3002,25,6
3002,19,2
3002,15,3
3002,14,3
3002,7,5
3002,4,3
3002,2,3
3002,1,7
3002,0,23
3009,484,205
3009,379,8
3009,326,65
3009,320,6
3009,84,6
3009,72,60
3009,71,56
3009,70,6
3009,28,6
3009,27,50
3009,25,37
3009,19,15
3009,15,44
3009,14,4
3009,4,1
3009,2,3
3009,1,6
3009,0,23
15346,14,3
89536,320,1
89536,85,1
95228pr0002,34,2
3626cpr2106,78,2
90498,72,25
90498,0,1
25841,78,1
59230,484,2
59230,308,2
59230,71,3
59230,19,7
59230,15,2
59230,0,2
87580,379,3
87580,378,1
87580,322,7
87580,321,7
87580,320,13
87580,297,1
87580,272,6
87580,85,2
87580,84,5
87580,73,5
87580,72,164
87580,71,45
87580,70,47
87580,28,20
87580,27,6
87580,26,10
87580,19,8
87580,15,3
87580,14,12
87580,10,11
87580,4,12
87580,2,6
87580,1,1
87580,0,20
64712,326,2
64712,0,2
3743,7,100
3743,0,6
64647,288,1
64647,182,25
64647,57,19
64647,15,3
64647,4,5
64647,1,7
63864,320,23
63864,72,50
63864,71,71
63864,70,14
63864,28,25
63864,25,16
63864,15,43
63864,14,2
63864,4,14
63864,2,2
63864,1,2
63864,0,26
93219pr0006,71,1
15621,46,1
6021386,9999,1
70709stk01,9999,1
973pr2996c01,320,1
98138pr0017,29,2
970c00pr0417,0,2
70504stk01,9999,1
90640pr0024,0,2
10113,29,1
10113,15,1
10113,0,5
22385,379,4
22385,179,1
22385,71,4
973pr1719c01,15,1
87620,72,54
87620,71,66
87620,28,12
87620,15,22
87620,1,6
87620,0,12
4032b,71,8
60476,71,11
60476,0,4
2449,72,9
2449,71,13
2449,70,6
2449,0,6
33291,212,3
33291,191,29
33291,70,25
33291,31,51
33291,26,39
33291,10,73
33291,5,38
33291,4,26
33291,2,26
32028,72,109
32028,71,69
32028,70,8
32028,28,7
32028,19,2
32028,15,57
32028,14,2
32028,4,6
32028,0,50
50745,320,4
50745,288,4
50745,72,12
50745,15,18
50745,14,8
50745,1,3
50745,0,18
3837,72,9
3837,0,3
13786pr0001,71,1
92206,148,3
41889,148,3
6120,15,4
87571pr0003,27,1
64711,72,1
6179pr0006b,0,1
87617,0,9
973pr3326c01,5,1
15357pr0001,85,1
973pr1958c01b,4,1
970c00pr0715,0,1
50944pr0001,0,14
19305,148,1
90395,4,1
3626cpr1633,78,1
973pr1940c01,14,1
973pr2381c01,0,1
27409,15,1
87079,484,2
87079,378,4
87079,326,2
87079,272,2
87079,191,6
87079,72,46
87079,71,78
87079,70,11
87079,26,5
87079,25,2
87079,15,19
87079,14,4
87079,4,4
87079,1,8
87079,0,15
30414,288,1
30414,72,17
30414,71,37
30414,19,59
30414,15,8
30414,14,8
30414,4,13
30414,1,3
30414,0,22
14769,297,1
14769,288,6
14769,191,2
14769,72,5
14769,71,19
14769,30,5
14769,27,4
14769,25,2
14769,19,7
14769,15,5
14769,14,4
14769,4,7
14769,0,1
88072,72,24
88072,71,7
88072,19,2
88072,15,1
88072,4,5
88072,0,31
4740,182,2
4740,129,5
4740,82,1
4740,72,14
4740,71,53
4740,70,2
4740,57,13
4740,47,4
4740,45,5
4740,42,11
4740,41,9
4740,36,11
4740,33,1
4740,28,3
4740,15,25
4740,14,5
4740,7,7
4740,4,10
4740,2,5
4740,1,6
4740,0,46
88292,73,4
88292,71,6
88292,0,14
2877,72,38
2877,71,25
2877,70,29
2877,19,6
2877,15,32
2877,14,3
2877,8,4
2877,0,9
973pr2742c01,28,1
3626cpr1783,14,2
75902pr0001,320,1
973pr3217c01,378,1
970x192pr0002,191,1
98137,297,8
98137,148,2
98137,4,2
22385pr0030,47,1
2586pr0008,71,2
95351pr0004,212,1
92222,179,4
92222,148,7
92222,27,6
92222,15,2
92222,0,2
970c00pr0790,15,1
3626cpr1122,28,1
970x106,14,1
973pr0100c01,72,3
61189pr0013,15,1
970c00pr0512,19,1
63082,71,5
63082,0,8
3623,378,10
3623,320,19
3623,288,4
3623,191,8
3623,85,3
3623,72,71
3623,71,127
3623,70,40
3623,27,17
3623,19,20
3623,15,77
3623,14,7
3623,4,32
3623,2,8
3623,1,23
3623,0,61
3794a,297,2
3794a,72,6
3794a,71,13
3794a,28,5
3794a,15,3
3794a,14,6
3794a,2,2
3794a,0,10
30177,15,1
11609,484,7
11212,72,3
11212,71,6
3626cpr1147,14,3
3626cpr1886,78,1
6025,0,1
3626bpr1173,14,1
14417,72,100
970c00pb241,15,1
970c00pr0450,72,1
11055pr0011,15,1
3821,25,4
3821,15,5
3821,14,2
3821,2,3
2343,297,12
2343,71,1
2343,47,13
4488,71,33
4488,0,52
3666,25,14
3666,19,34
3666,15,78
3666,14,20
3666,4,18
3666,2,16
3666,1,14
3666,0,104
3666,320,5
3666,288,16
3666,272,14
3666,191,15
3666,73,6
3666,72,83
3666,71,97
3666,70,42
3666,28,2
3666,27,11
3666,26,1
85861,320,6
85861,182,1
85861,71,13
85861,15,17
85861,0,252
3023,71,291
3023,70,188
3023,47,35
3023,46,42
3023,41,38
3023,36,63
3023,33,8
3023,30,2
3023,29,3
3023,28,1067
3023,27,49
3023,26,1
3023,25,81
3023,19,156
3023,15,168
3023,14,92
3023,4,98
3023,2,66
3023,1,55
3023,0,283
3023,484,20
3023,378,672
3023,326,1097
3023,322,10
3023,321,43
3023,320,81
3023,308,1023
3023,288,17
3023,272,565
3023,212,6
3023,191,13
3023,182,23
3023,85,120
3023,73,66
3023,72,227
973pr9993,0,1
98280,71,1
98280,25,1
98280,14,2
970c07pr0619,1,1
970c00pr0980,1,1
973pr2252c01,15,1
11091,297,6
11091,85,7
11091,15,2
11091,0,8
11091,308,6
24636,0,1
3626bpr1060,14,2
61287,47,4
3035,288,1
3035,72,18
3035,71,9
3035,70,6
3035,28,1
3035,25,2
3035,19,4
3035,15,9
3035,14,6
3035,8,3
3035,2,3
3035,1,5
3035,0,13
3626cpr0854,78,1
18987,70,1
24793,0,1
92280,378,3
92280,71,97
92280,15,40
92280,4,5
92280,0,90
4477,72,28
4477,71,51
4477,70,4
4477,19,6
4477,15,16
4477,4,4
4477,1,9
4477,0,20
3626bpr1061,14,1
3626cpr1627,78,1
3626cpr1241,14,1
93274,72,24
93274,71,6
93274,27,2
93274,14,6
93274,4,1
93274,0,15
30350b,84,1
30350b,72,46
30350b,41,5
30350b,40,1
30350b,15,4
30350b,0,3
92402,0,4
14769pr1010,0,1
47458,72,1
47458,4,2
47458,0,6
3626cpr1943,92,1
973pr2062c01,4,1
3626cpr1134,71,2
58381,15,1
4714,15,1
13783,71,1
13783,0,1
22385pr0023,33,1
973pr3613c01,191,1
973pr2318c01,191,1
10183,47,1
10183,45,1
10183,40,1
973pr0601c01,29,1
3626bpb0921,14,1
60752,179,12
60752,135,1
32015,71,12
32015,15,2
32015,8,2
32015,0,35
88930,321,10
88930,288,2
88930,71,6
88930,25,8
88930,15,20
88930,14,5
88930,4,4
88930,1,8
88930,0,8
30357,288,4
30357,191,4
30357,72,8
30357,71,6
30357,70,114
30357,19,1
30357,2,3
30357,0,4
11302,297,1
30361c,27,2
30361c,15,2
30361c,0,2
16477,47,10
973pr2880c01,15,1
2823,0,4
973pr2931c01,19,1
47406,72,1
47406,0,2
3894,72,31
3894,71,10
3894,15,10
3894,4,3
3894,0,7
970c01pr0311,15,2
4460b,320,5
4460b,308,2
4460b,72,349
4460b,71,8
4460b,70,3
4460b,25,4
4460b,19,3
4460b,15,4
4460b,10,4
4460b,1,2
4460b,0,4
3709,72,11
3709,71,20
3709,15,14
3709,4,10
3709,0,12
90542pr0002,288,2
18587,71,5
18587,14,4
41334,272,5
41334,72,4
41334,0,5
13361pr0002,72,1
90638pr0023,0,1
14137,42,2
14137,34,1
14137,0,2
970c00pr1000,0,1
52501,320,2
52501,72,10
52501,15,8
52501,14,2
52501,4,3
52501,1,5
54384,320,11
54384,288,5
54384,272,1
54384,72,2
54384,71,21
54384,28,2
54384,15,17
54384,1,2
54384,0,17
14704,72,2
14704,71,121
13251,308,1
60923,135,3
50231pr0001,85,1
13357,9999,1
3185,0,5
6191,72,4
6191,71,4
6191,15,4
6191,0,3
3623pr0009,29,1
19729pr0003,2,1
18792,70,1
970c00pr0446,0,1
3626cpr1242,19,1
30355,71,9
30355,15,6
973pr3314c01,5,1
973pr3216c01,4,1
6239,272,4
6239,72,3
6239,15,4
973pr2390c01,15,1
19052,297,1
19052,57,1
19052,4,1
64390,70,5
64390,30,1
6021384,9999,1
71509,0,13
6040217,47,1
92227,4,1
2476,15,1
973pr3534c01,70,1
11055pr0014,15,1
64808pr0001,484,1
50303,72,1
50303,0,2
970c00pr0731,191,1
973pr2432c01,288,1
57585,71,27
3626cpr2086,320,1
970c00pr0343,72,1
3626cpr1481,15,1
13744pr0001,4,1
3963,71,8
3626cpr0386,14,2
3626bpr0949,14,1
41765,72,4
41765,71,2
41765,0,2
15392,72,49
4345b,71,3
4345b,15,7
4345b,4,1
4598,15,3
4598,1,6
4598,0,6
3742,29,4
3742,14,4
3742,5,24
3742,4,12
30367b,322,2
30367b,158,2
30367b,72,6
30367b,71,2
30367b,27,6
30367b,25,3
30367b,15,3
30367b,4,3
30367b,0,2
18906,288,1
32000,72,56
32000,71,43
32000,19,25
32000,15,2
32000,14,14
32000,4,7
32000,0,17
18143,484,1
50950,378,8
50950,322,1
50950,321,22
50950,320,16
50950,308,4
50950,297,16
50950,288,18
50950,272,31
50950,85,1
50950,72,29
50950,71,13
50950,27,16
50950,26,6
50950,25,22
50950,19,2
50950,15,17
50950,14,4
50950,10,4
50950,4,20
50950,2,4
50950,1,8
50950,0,14
970c03pr0995,14,1
3626cpr1136,0,1
60115,71,1
60115,15,51
60115,0,10
18789,179,1
15522pr0002,1,1
3626cpr1731,1000,1
3626cpr1260,78,1
3626cpr1287,78,1
90639pr0023,179,1
973pr2314c01,70,1
57783,41,2
57783,40,6
87556pr0005b,0,1
973pr3219c01,19,1
973pr2835c01,27,1
64951,70,2
64951,30,1
14769pr1018,84,1
18910,378,2
18910,25,3
88516,0,4
15530,272,2
3847,135,1
57999,0,16
13757pr0001,326,1
15348,4,2
970c00pr0428,297,2
11605,70,1
973pr3324c01,0,1
3678bpr0058,212,1
98603s02pr0006,0,2
45705,40,1
3626bpr1062,15,1
973pr2063c01,308,2
24111pr0001,19,1
45707b,72,1
98603s01pr0003,4,1
20492pr0001,14,1
24073,15,1
3678bpr0017,320,1
98138pr0022,84,1
3626cpr1337,14,1
3068bpr0166,71,1
78c03,179,2
78c03,7,2
21561pr0008,179,1
85940,0,4
56823c50,0,11
970c69pr0237,28,1
61189pr0008,25,2
50747pr0004,40,1
970c00pr1160,191,1
3626bpr1058,14,1
3626cpr2213,14,1
92456pr0075c01,78,1
3626cpr1238,14,1
2413,15,2
16368pr0001,14,1
24954,0,1
24299,15,1
24299,0,1
3626cpr2209,14,1
30151a,47,14
30151a,42,1
10884,27,3
10884,2,2
3626cpr0752,14,1
3069bpr0006,15,1
93595,0,14
11816pr0020,84,2
3069bpr0142,15,1
973pr2521c01,25,1
60614,72,4
60614,30,2
3068bpr0253,15,1
970c00pr0399,0,1
3626cpr1830,14,1
6037284,9999,1
3941,288,6
3941,182,7
3941,85,9
3941,72,6
3941,71,53
3941,70,68
3941,57,2
3941,47,7
3941,46,3
3941,42,27
3941,41,1
3941,27,4
3941,25,1
3941,19,15
3941,15,11
3941,14,18
3941,4,12
3941,2,2
3941,1,3
3941,0,22
76005stk01,9999,1
3844,179,1
3844,80,10
3844,71,1
3844,0,8
970c00pr1110,0,1
15361,57,2
15361,41,2
15361,35,4
2446pr0012,0,1
98835,326,2
98835,321,6
