Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"42038-1","Technic","",2015,"Arctic Truck",,913,59.99,84.99,109.99,5702015350051,,"",1,62.0000,58.7400,
"44000-1","HERO Factory","",2013,"FURNO XL",,103,14.99,19.99,24.99,5702014974654,673419190596,"",1,25.9900,11.6100,
"44001-1","HERO Factory","",2013,"PYROX",,50,9.99,12.99,15.99,5702014975040,673419191678,"",1,16.9700,7.9900,
"44002-1","HERO Factory","",2013,"ROCKA",,43,7.99,9.99,11.99,5702014975118,673419191753,"",1,5.9900,6.8000,
"44003-1","HERO Factory","",2013,"SCAROX",,46,7.99,9.99,11.99,5702014976092,673419191739,"",1,11.1400,5.8600,
"44004-1","HERO Factory","",2013,"BULK",,50,7.99,9.99,11.99,5702014975088,673419191722,"",1,7.4900,5.0000,
"44005-1","HERO Factory","",2013,"BRUIZER",,62,9.99,12.99,15.99,5702014975033,673419191661,"",1,12.0000,4.1700,
"44006-1","HERO Factory","",2013,"BREEZ",,49,7.99,9.99,11.99,5702014975071,673419191708,"",1,11.9500,5.0000,
"44007-1","HERO Factory","",2013,"OGRUM",,59,9.99,12.99,15.99,5702014975026,673419191654,"",1,9.9500,7.6500,
"44008-1","HERO Factory","",2013,"SURGE",,66,9.99,12.99,15.99,5702014975019,673419190640,"",1,16.4700,17.0000,
"44009-1","HERO Factory","",2013,"DRAGON BOLT",,149,17.99,19.99,24.99,5702014974647,673419190589,"",1,26.8300,15.1500,
"44010-1","HERO Factory","",2013,"STORMER",,69,9.99,12.99,15.99,5702014975002,673419190633,"",1,21.7500,14.5400,
"44011-1","HERO Factory","",2013,"FROST BEAST",,60,9.99,12.99,15.99,5702014974999,673419190626,"",1,20.3800,6.2700,
"44012-1","HERO Factory","",2013,"EVO",,51,7.99,9.99,11.99,5702014975064,673419191692,"",2,11.1400,6.5000,
"44013-1","HERO Factory","",2013,"AQUAGON",,41,7.99,9.99,11.99,5702014975057,673419191685,"",1,11.6400,4.9600,
"44014-1","HERO Factory","",2013,"JET ROCKA",,290,24.99,34.99,44.99,5702014974630,673419190572,"",1,34.9500,30.0000,
"44015-1","HERO Factory","",2014,"EVO Walker",4,51,8.99,9.99,11.99,5702015114578,673419207096,"",1,11.1400,9.0600,
"44016-1","HERO Factory","",2014,"JAW Beast vs. STORMER",1,49,8.99,9.99,11.99,5702015114592,673419207102,"",1,22.3200,12.8500,
"44017-1","HERO Factory","",2014,"STORMER Freeze Machine",3,88,12.99,14.99,17.99,5702015114639,673419207119,"",1,28.5400,28.5800,
"44018-1","HERO Factory","",2014,"FURNO Jet Machine",2,79,12.99,14.99,17.99,5702015114646,673419207126,"",1,22.0000,,
"44019-1","HERO Factory","",2014,"ROCKA Stealth Machine",2,89,12.99,14.99,17.99,5702015114677,673419207133,"",1,22.0000,11.0900,
"44020-1","HERO Factory","",2014,"FLYER Beast vs. BREEZ",1,91,12.99,14.99,17.99,5702015114691,673419207140,"",1,22.5600,12.0200,
"44021-1","HERO Factory","",2014,"SPLITTER Beast vs. FURNO & EVO",2,108,17.99,19.99,24.99,5702015115247,673419207379,"",1,35.2900,15.9500,
"44022-1","HERO Factory","",2014,"EVO XL Machine",3,193,19.99,24.99,29.99,5702015115254,673419207409,"",1,45.0000,19.0100,
"44026-1","HERO Factory","",2014,"CRYSTAL Beast vs. BULK",1,83,12.99,14.99,17.99,5702015114769,673419207188,"",1,15.8300,14.1800,
"60011-1","City","Coast Guard",2013,"Surfer Rescue",2,32,4.99,6.99,8.99,5702014974111,673419191173,"",1,5.1200,3.7900,
"60017-1","City","Traffic",2013,"Flatbed Truck",2,212,17.99,19.99,24.99,5702014959392,673419187138,"",1,24.8500,14.7500,
"60018-1","City","Traffic",2013,"Cement Mixer",2,221,17.99,19.99,24.99,5702014959408,673419187145,"",2,37.1400,23.0000,
"60032-1","City","Arctic",2014,"Arctic Snowmobile",1,44,4.99,6.99,8.99,5702015119245,673419207614,"",2,5.9500,3.7500,
"60033-1","City","Arctic",2014,"Arctic Ice Crawler",1,113,9.99,14.99,17.99,5702015119252,673419207621,"",1,9.9900,10.0000,
"60034-1","City","Arctic",2014,"Arctic Helicrane",2,262,24.99,39.99,49.99,5702015119269,673419207638,"",1,29.6500,21.0000,
"60035-1","City","Arctic",2014,"Arctic Outpost",3,374,34.99,49.99,59.99,5702015119276,673419207645,"",1,44.9900,30.8600,
"60036-1","City","Arctic",2014,"Arctic Base Camp",7,733,69.99,89.99,109.99,5702015119283,673419207751,"",1,53.6800,55.7900,
"60042-1","City","Police",2014,"High Speed Police Chase",3,110,12.99,19.99,24.99,5702015115452,673419206884,"",1,12.2800,10.0000,
"60050-1","City","Trains",2014,"Train Station",5,423,49.99,64.99,79.99,5702015119313,673419207782,"",1,64.3900,48.3000,
"60052-1","City","Trains",2014,"Cargo Train",4,888,149.99,199.99,229.99,5702015119337,673419207805,"",1,100.0000,24.0000,
"60057-1","City","Traffic",2014,"Camper Van",2,195,17.99,19.99,24.99,5702015115636,673419207560,"",1,33.6100,23.9300,
"60059-1","City","Traffic",2014,"Logging Truck",2,228,17.99,19.99,24.99,5702015115650,673419207584,"",1,43.6900,25.0000,
"60062-1","City","Arctic",2014,"Arctic Icebreaker",7,717,79.99,129.99,149.99,5702015119290,,"",1,129.5900,111.6600,
"60064-1","City","Arctic",2014,"Arctic Supply Plane",3,374,49.99,49.99,59.99,5702015119306,,"",2,101.9600,90.0000,
"60066-1","City","Swamp Police",2015,"Swamp Police Starter Set",4,78,8.99,9.99,12.99,5702015350259,673419230773,"",1,8.1800,5.0000,
"60083-1","City","Traffic",2015,"Snowplough Truck",1,196,17.99,19.99,24.99,5702015350211,673419230636,"",1,20.0000,15.9900,
"70000-1","Legends of Chima","",2013,"Razcal's Glider",1,109,7.99,11.99,14.99,5702014970960,673419189453,"",1,5.9900,2.9800,
"70001-1","Legends of Chima","",2013,"Crawley's Claw Ripper",2,139,12.99,14.99,19.99,5702014971400,673419189439,"",1,11.7300,5.0000,
"70008-1","Legends of Chima","",2013,"Gorzan's Gorilla Striker",4,505,49.99,49.99,59.99,5702014971516,673419189231,"",1,29.0000,24.8600,
"70009-1","Legends of Chima","",2013,"Worriz's Combat Lair",6,664,59.99,69.99,89.99,5702014971530,673419189668,"",1,35.9900,25.0000,
"70113-1","Legends of Chima","Speedorz",2013,"CHI Battles",2,92,14.99,19.99,24.99,5702014972407,673419190121,"",1,11.9000,,
"70141-1","Legends of Chima","Fire vs. Ice",2014,"Vardy's Ice Vulture Glider",2,217,17.99,19.99,24.99,5702015124010,673419210706,"",1,10.0000,,
"70164-1","Ultra Agents","",2014,"Hurricane Heist",4,589,49.99,69.99,89.99,5702015124270,673419210508,"",1,32.9900,21.2800,
"70168-1","Ultra Agents","",2015,"Drillex Diamond Job",2,312,24.99,29.99,39.99,5702015354271,673419232043,"",1,21.0000,15.0000,
"70200-1","Legends of Chima","Constraction",2013,"CHI Laval",,55,10.99,14.99,19.99,5702014975316,673419191852,"",1,12.2800,6.3600,
"70201-1","Legends of Chima","Constraction",2013,"CHI Eris",,67,10.99,14.99,19.99,5702014975309,673419191845,"",1,15.0000,10.5000,
"70202-1","Legends of Chima","Constraction",2013,"CHI Gorzan",,59,10.99,14.99,19.99,5702014975286,673419191821,"",1,9.2100,8.0000,
"70203-1","Legends of Chima","Constraction",2013,"CHI Cragger",,65,10.99,14.99,19.99,5702014975279,673419191814,"",1,14.0000,7.2000,
"70204-1","Legends of Chima","Constraction",2013,"CHI Worriz",,55,10.99,14.99,19.99,5702014975156,673419191791,"",1,12.8900,10.0000,
"70205-1","Legends of Chima","Constraction",2013,"CHI Razar",,68,10.99,14.99,19.99,5702014975132,673419191777,"",1,11.1800,6.9800,
"70312-1","Nexo Knights","Season 1",2016,"Lance's Mecha Horse",3,237,17.99,19.99,24.99,,673419244541,"",1,12.2900,15.0000,
"70327-1","Nexo Knights","Season 1",2016,"The King's Mech",3,375,29.99,29.99,39.99,,,"",1,31.8500,20.0000,
"70330-1","Nexo Knights","Ultimate",2016,"Ultimate Clay",1,72,6.99,9.99,12.99,,673419249232,"",1,6.3300,,
"70334-1","Nexo Knights","Ultimate",2016,"Ultimate Beast Master",1,65,6.99,9.99,12.99,,673419249270,"",1,4.9300,,
"70339-1","Nexo Knights","Ultimate",2016,"Ultimate Flama",1,67,6.99,9.99,12.99,,673419249324,"",1,5.0000,6.5500,
"70366-1","Nexo Knights","Battle Suits",2017,"Battle Suit Lance",1,83,7.99,9.99,12.99,,673419266284,"",1,8.4400,,
"70400-1","Castle","",2013,"Forest Ambush",4,90,7.99,11.99,14.99,5702014973053,673419190657,"",6,8.9900,8.5000,
"70401-1","Castle","",2013,"Gold Getaway",3,199,17.99,19.99,24.99,5702014973060,673419190664,"",1,17.9900,17.0000,
"70402-1","Castle","",2013,"The Gatehouse Raid",4,248,24.99,29.99,39.99,5702014973077,673419190671,"",1,37.3900,31.1800,
"70403-1","Castle","",2013,"Dragon Mountain",5,376,34.99,49.99,59.99,5702014973084,673419190688,"",1,64.9900,55.0000,
"70404-1","Castle","",2013,"King's Castle",7,996,79.99,99.99,129.99,5702014973091,673419190695,"",1,170.0000,115.2200,
"70500-1","Ninjago","The Final Battle",2013,"Kai's Fire Mech",2,102,7.99,9.99,12.99,5702014972872,673419190299,"",2,19.0000,14.0000,
"70503-1","Ninjago","The Final Battle",2013,"The Golden Dragon",3,252,24.99,29.99,39.99,5702014972902,673419190329,"",1,57.0000,24.0000,
"70504-1","Ninjago","The Final Battle",2013,"Garmatron",3,328,29.99,39.99,49.99,5702014972919,673419190336,"",1,39.6000,31.2500,
"70505-1","Ninjago","The Final Battle",2013,"Temple of Light",5,565,59.99,69.99,89.99,5702014972926,673419190343,"",1,75.0000,40.0000,
"70592-1","Ninjago","Day of the Departed",2016,"Salvage M.E.C.",4,439,39.99,39.99,49.99,,673419254533,"",1,25.0000,,
"70594-1","Ninjago","Skybound",2016,"The Lighthouse Siege",8,767,59.99,69.99,89.99,,673419254656,"",1,40.5500,42.3600,
"70612-1","The LEGO Ninjago Movie","",2017,"Green Ninja Mech Dragon",2,544,44.99,49.99,64.99,,673419248389,"",1,40.0000,,
"70700-1","Space","Galaxy Squad",2013,"Space Swarmer",2,86,7.99,11.99,14.99,5702014974708,673419191357,"",1,9.0000,5.0000,
"70701-1","Space","Galaxy Squad",2013,"Swarm Interceptor",2,218,17.99,19.99,24.99,5702014974715,673419191364,"",1,21.3500,14.9500,
"70703-1","Space","Galaxy Squad",2013,"Star Slicer",3,311,34.99,39.99,49.99,5702014975163,,"",1,22.4200,25.0000,
"70705-1","Space","Galaxy Squad",2013,"Bug Obliterator",4,711,59.99,79.99,99.99,5702014975125,673419191760,"",1,45.9000,35.0000,
"70706-1","Space","Galaxy Squad",2013,"Crater Creeper",2,171,17.99,19.99,24.99,5702014975095,673419191746,"",1,9.9500,10.0000,
"70707-1","Space","Galaxy Squad",2013,"CLS-89 Eradicator Mech",2,440,34.99,39.99,49.99,5702014974982,673419191715,"",1,36.0000,36.6100,
"70709-1","Space","Galaxy Squad",2013,"Galactic Titan",5,1012,79.99,99.99,129.99,5702014974661,673419190602,"",1,70.0000,75.0000,
"70723-1","Ninjago","Rebooted",2014,"Thunder Raider",3,334,24.99,29.99,39.99,5702015121095,673419209298,"",1,44.1300,24.6000,
"70779-1","Bionicle","Companions",2015,"Protector of Stone",,73,9.99,9.99,12.99,5702015350990,673419231022,"",1,8.4900,7.0800,
"70780-1","Bionicle","Companions",2015,"Protector of Water",,71,9.99,9.99,12.99,5702015350983,673419231015,"",1,8.5700,5.4000,
"70781-1","Bionicle","Companions",2015,"Protector of Earth",,66,9.99,9.99,12.99,5702015350976,673419231053,"",1,10.0000,7.9900,
"70782-1","Bionicle","Companions",2015,"Protector of Ice",,68,9.99,9.99,12.99,5702015350860,673419231008,"",1,9.0600,7.6800,
"70785-1","Bionicle","Toa",2015,"Pohatu - Master of Stone",,66,12.99,14.99,17.99,5702015350839,673419230964,"",1,9.0000,9.0000,
"70787-1","Bionicle","Toa",2015,"Tahu - Master of Fire",,89,14.99,19.99,24.99,5702015350419,673419230742,"",1,12.0000,9.0000,
"70788-1","Bionicle","Toa",2015,"Kopaka - Master of Ice",,97,14.99,19.99,24.99,5702015350365,673419230735,"",1,16.6500,14.5000,
"70789-1","Bionicle","Toa",2015,"Onua - Master of Earth",,108,14.99,19.99,24.99,5702015350358,673419230728,"",1,13.0000,12.2500,
"70790-1","Bionicle","Reboot Villains",2015,"Lord of Skull Spiders",,145,12.99,14.99,17.99,5702015350334,673419230711,"",2,9.0000,7.2300,
"70791-1","Bionicle","Reboot Villains",2015,"Skull Warrior",,102,12.99,14.99,17.99,5702015350327,673419230704,"",1,5.8000,,
"70793-1","Bionicle","Reboot Villains",2015,"Skull Basher",,72,12.99,14.99,17.99,5702015350280,673419230681,"",1,5.3900,,
"70795-1","Bionicle","Miscellaneous",2015,"Mask Maker vs. Skull Grinder",,171,24.99,29.99,39.99,5702015348461,673419229517,"",1,21.0000,31.3400,
"70801-1","The LEGO Movie","",2014,"Melting Room",3,122,11.99,12.99,15.99,5702015121224,673419209793,"",1,9.0000,7.9900,
"70804-1","The LEGO Movie","2 in 1",2014,"Ice Cream Machine",3,344,24.99,29.99,39.99,5702015121255,673419209823,"",1,25.0000,15.0500,
"70807-1","The LEGO Movie","",2014,"MetalBeard's Duel",3,412,29.99,34.99,44.99,5702015122283,673419210157,"",1,37.4900,25.0000,
"70816-1","The LEGO Movie","",2014,"Benny's Spaceship, Spaceship, SPACESHIP!",7,940,79.99,99.99,119.99,5702015122474,673419210249,"",1,84.9500,7.3900,
"70818-1","The LEGO Movie","",2015,"Double-Decker Couch",5,197,14.99,14.99,17.99,5702015391573,673419237192,"",1,22.0000,14.9900,
"70904-1","The LEGO Batman Movie","",2017,"Clayface Splat Attack",2,448,29.99,34.99,44.99,,673419267137,"",1,22.5200,,
"71000-1","Collectable Minifigures","Series 09",2013,"Waiter",1,7,1.99,2.99,,5702014973497,,"",2,156.6600,94.5000,
"71000-2","Collectable Minifigures","Series 09",2013,"Cyclops",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71000-3","Collectable Minifigures","Series 09",2013,"Hollywood Starlet",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71000-4","Collectable Minifigures","Series 09",2013,"Heroic Knight",1,10,1.99,2.99,,5702014973497,,"",1,,,
"71000-5","Collectable Minifigures","Series 09",2013,"Roman Emperor",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71000-6","Collectable Minifigures","Series 09",2013,"Policeman",1,7,1.99,2.99,,5702014973497,,"",1,,,
"71000-7","Collectable Minifigures","Series 09",2013,"Chicken Suit Guy",1,4,1.99,2.99,,5702014973497,,"",2,,,
"71000-8","Collectable Minifigures","Series 09",2013,"Roller Derby Girl",1,7,1.99,2.99,,5702014973497,,"",1,,,
"71000-9","Collectable Minifigures","Series 09",2013,"Fortune Teller",1,7,1.99,2.99,3.49,5702014973497,,"",1,,,
"71000-10","Collectable Minifigures","Series 09",2013,"Judge",1,7,1.99,2.99,3.49,5702014973497,,"",1,,,
"71000-11","Collectable Minifigures","Series 09",2013,"Alien Avenger",1,7,1.99,2.99,,5702014973497,,"",1,,,
"71000-12","Collectable Minifigures","Series 09",2013,"Mermaid",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71000-13","Collectable Minifigures","Series 09",2013,"Battle Mech",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71000-14","Collectable Minifigures","Series 09",2013,"Mr. Good and Evil",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71000-15","Collectable Minifigures","Series 09",2013,"Forest Maiden",1,7,1.99,2.99,,5702014973497,,"",1,,,
"71000-16","Collectable Minifigures","Series 09",2013,"Plumber",1,6,1.99,2.99,,5702014973497,,"",1,,,
"71001-1","Collectable Minifigures","Series 10",2013,"Librarian",1,7,1.99,2.99,,,,"",1,5.9500,149.5000,
"71001-2","Collectable Minifigures","Series 10",2013,"Medusa",1,5,1.99,2.99,,,,"",1,,,
"71001-3","Collectable Minifigures","Series 10",2013,"Roman Commander",1,8,1.99,2.99,,,,"",1,,,
"71001-4","Collectable Minifigures","Series 10",2013,"Warrior Woman",1,7,1.99,2.99,,,,"",1,,,
"71001-5","Collectable Minifigures","Series 10",2013,"Tomahawk Warrior",1,6,1.99,2.99,,,,"",1,,,
"71001-6","Collectable Minifigures","Series 10",2013,"Skydiver",1,5,1.99,2.99,,,,"",2,,,
"71001-7","Collectable Minifigures","Series 10",2013,"Bumblebee Girl",1,7,1.99,2.99,,,,"",1,,,
"71001-8","Collectable Minifigures","Series 10",2013,"Grandpa",1,7,1.99,2.99,,,,"",1,,,
"71001-9","Collectable Minifigures","Series 10",2013,"Paintball Player",1,7,1.99,2.99,3.49,,,"",1,,,
"71001-10","Collectable Minifigures","Series 10",2013,"Sea Captain",1,7,1.99,2.99,,,,"",1,,,
"71001-11","Collectable Minifigures","Series 10",2013,"Sad Clown",1,6,1.99,2.99,,,,"",1,,,
"71001-12","Collectable Minifigures","Series 10",2013,"Revolutionary Soldier",1,6,1.99,2.99,,,,"",1,,,
"71001-13","Collectable Minifigures","Series 10",2013,"Baseball Fielder",1,5,1.99,2.99,,,,"",1,,,
"71001-14","Collectable Minifigures","Series 10",2013,"Trendsetter",1,7,1.99,2.99,,,,"",1,,,
"71001-15","Collectable Minifigures","Series 10",2013,"Decorator",1,7,1.99,2.99,,,,"",1,,,
"71001-16","Collectable Minifigures","Series 10",2013,"Motorcycle Mechanic",1,6,1.99,2.99,,,,"",1,,,
"71002-1","Collectable Minifigures","Series 11",2013,"Barbarian",1,7,1.99,2.99,,,,"",1,4.9000,97.5000,
"71002-2","Collectable Minifigures","Series 11",2013,"Scarecrow",1,7,1.99,2.99,,,,"",1,,,
"71002-3","Collectable Minifigures","Series 11",2013,"Pretzel Girl",1,7,1.99,2.99,,,,"",1,,,
"71002-4","Collectable Minifigures","Series 11",2013,"Evil Mech",1,8,1.99,2.99,,,,"",1,,,
"71002-5","Collectable Minifigures","Series 11",2013,"Island Warrior",1,7,1.99,2.99,,,,"",1,,,
"71002-6","Collectable Minifigures","Series 11",2013,"Gingerbread Man",1,5,1.99,2.99,,,,"",1,,,
"71002-7","Collectable Minifigures","Series 11",2013,"Holiday Elf",1,8,1.99,2.99,,,,"",1,,,
"71002-8","Collectable Minifigures","Series 11",2013,"Yeti",1,5,1.99,2.99,,,,"",1,,,
"71002-9","Collectable Minifigures","Series 11",2013,"Mountain Climber",1,7,1.99,2.99,3.49,,,"",1,,,
"71002-10","Collectable Minifigures","Series 11",2013,"Welder",1,7,1.99,2.99,,,,"",1,,,
"71002-11","Collectable Minifigures","Series 11",2013,"Scientist",1,7,1.99,2.99,,,,"",1,,,
"71002-12","Collectable Minifigures","Series 11",2013,"Saxophone Player",1,6,1.99,2.99,,,,"",1,,,
"71002-13","Collectable Minifigures","Series 11",2013,"Diner Waitress",1,10,1.99,2.99,,,,"",1,,,
"71002-14","Collectable Minifigures","Series 11",2013,"Grandma",1,7,1.99,2.99,,,,"",1,,,
"71002-15","Collectable Minifigures","Series 11",2013,"Constable",1,6,1.99,2.99,,,,"",1,,,
"71002-16","Collectable Minifigures","Series 11",2013,"Lady Robot",1,5,1.99,2.99,,,,"",1,,,
"71004-1","Collectable Minifigures","The LEGO Movie",2014,"Calamity Drone",1,7,2.5,2.99,,5702015115780,,"",1,7.3100,111.9600,
"71004-2","Collectable Minifigures","The LEGO Movie",2014,"President Business",1,5,2.5,2.99,,,,"",1,,,
"71004-3","Collectable Minifigures","The LEGO Movie",2014,"Hard Hat Emmet",1,5,2.5,2.99,,,,"",1,,,
"71004-4","Collectable Minifigures","The LEGO Movie",2014,"Wild West Wyldstyle",1,6,2.5,2.99,,,,"",1,,,
"71004-5","Collectable Minifigures","The LEGO Movie",2014,"Abraham Lincoln",1,6,2.5,2.99,,,,"",1,,,
"71004-6","Collectable Minifigures","The LEGO Movie",2014,"Mrs. Scratchen-Post",1,5,2.5,2.99,,,,"",1,,,
"71004-7","Collectable Minifigures","The LEGO Movie",2014,"Scribble-Face Bad Cop",1,6,2.5,2.99,,,,"",1,,,
"71004-8","Collectable Minifigures","The LEGO Movie",2014,"William Shakespeare",1,7,2.5,2.99,,,,"",1,,,
"71004-9","Collectable Minifigures","The LEGO Movie",2014,"Gail the Construction Worker",1,5,2.5,2.99,,,,"",1,,,
"71004-10","Collectable Minifigures","The LEGO Movie",2014,"Larry the Barista",1,5,2.5,2.99,,,,"",1,,,
"71004-11","Collectable Minifigures","The LEGO Movie",2014,"Velma Staplebot",1,5,2.5,2.99,,,,"",1,,,
"71004-12","Collectable Minifigures","The LEGO Movie",2014,"Taco Tuesday Guy",1,9,2.5,2.99,,,,"",1,,,
"71004-13","Collectable Minifigures","The LEGO Movie",2014,"Where are my Pants? Guy",1,5,2.5,2.99,,,,"",1,,,
"71004-14","Collectable Minifigures","The LEGO Movie",2014,"Wiley Fusebot",1,7,2.5,2.99,,,,"",1,,,
"71004-15","Collectable Minifigures","The LEGO Movie",2014,"Panda Guy",1,5,2.5,2.99,,,,"",1,,,
"71004-16","Collectable Minifigures","The LEGO Movie",2014,"Marsha Queen of the Mermaids",1,6,2.5,2.99,,,,"",1,,,
"71005-1","Collectable Minifigures","The Simpsons",2014,"Homer Simpson",1,6,2.5,3.99,,,,"",1,3.7300,,
"71005-2","Collectable Minifigures","The Simpsons",2014,"Bart Simpson",1,7,2.5,3.99,,,,"",1,,,
"71005-3","Collectable Minifigures","The Simpsons",2014,"Marge Simpson",1,8,2.5,3.99,,,,"",1,,,
"71005-4","Collectable Minifigures","The Simpsons",2014,"Lisa Simpson",1,6,2.5,3.99,,,,"",1,,,
"71005-5","Collectable Minifigures","The Simpsons",2014,"Maggie Simpson",1,4,2.5,3.99,,,,"",1,,,
"71005-6","Collectable Minifigures","The Simpsons",2014,"Grampa Simpson",1,5,2.5,3.99,,,,"",1,,,
"71005-7","Collectable Minifigures","The Simpsons",2014,"Ned Flanders",1,6,2.5,3.99,,,,"",1,,,
"71005-8","Collectable Minifigures","The Simpsons",2014,"Krusty the Clown",1,5,2.5,3.99,,,,"",1,,,
"71005-9","Collectable Minifigures","The Simpsons",2014,"Milhouse Van Houten",1,5,2.5,3.99,,,,"",1,,,
"71005-10","Collectable Minifigures","The Simpsons",2014,"Ralph Wiggum",1,5,2.5,3.99,,,,"",1,,,
"71005-11","Collectable Minifigures","The Simpsons",2014,"Apu Nahasapeemapetilon",1,5,2.5,3.99,,,,"",1,,,
"71005-12","Collectable Minifigures","The Simpsons",2014,"Nelson Muntz",1,5,2.5,3.99,,,,"",1,,,
"71005-13","Collectable Minifigures","The Simpsons",2014,"Itchy",1,5,2.5,3.99,,,,"",1,,,
"71005-14","Collectable Minifigures","The Simpsons",2014,"Scratchy",1,6,2.5,3.99,,,,"",1,,,
"71005-15","Collectable Minifigures","The Simpsons",2014,"Chief Wiggum",1,6,2.5,3.99,,,,"",1,,,
"71005-16","Collectable Minifigures","The Simpsons",2014,"Mr. Burns",1,6,2.5,3.99,,,,"",1,,,
"71007-1","Collectable Minifigures","Series 12",2014,"Wizard",1,10,2.49,3.99,,,,"",1,2.6200,4.5200,
"71007-2","Collectable Minifigures","Series 12",2014,"Hun Warrior",1,9,2.49,3.99,,,,"",1,,,
"71007-3","Collectable Minifigures","Series 12",2014,"Fairytale Princess",1,6,2.49,3.99,,,,"",1,,,
"71007-4","Collectable Minifigures","Series 12",2014,"Video Game Guy",1,6,2.49,3.99,,,,"",1,,,
"71007-5","Collectable Minifigures","Series 12",2014,"Battle Goddess",1,9,2.49,3.99,,,,"",1,,,
"71007-6","Collectable Minifigures","Series 12",2014,"Space Miner",1,9,2.49,3.99,,,,"",1,,,
"71007-7","Collectable Minifigures","Series 12",2014,"Lifeguard",1,7,2.49,3.99,,,,"",1,,,
"71007-8","Collectable Minifigures","Series 12",2014,"Prospector",1,7,2.49,3.99,,,,"",1,,,
"71007-9","Collectable Minifigures","Series 12",2014,"Jester",1,7,2.49,3.99,,,,"",1,,,
"71007-10","Collectable Minifigures","Series 12",2014,"Dino Tracker",1,7,2.49,3.99,,,,"",1,,,
"71007-11","Collectable Minifigures","Series 12",2014,"Pizza Delivery Man",1,7,2.49,3.99,,,,"",1,,,
"71007-12","Collectable Minifigures","Series 12",2014,"Rock Star",1,6,2.49,3.99,,,,"",1,,,
"71007-13","Collectable Minifigures","Series 12",2014,"Swashbuckler",1,7,2.49,3.99,,,,"",1,,,
"71007-14","Collectable Minifigures","Series 12",2014,"Piggy Guy",1,6,2.49,3.99,,,,"",3,,,
"71007-15","Collectable Minifigures","Series 12",2014,"Genie Girl",1,6,2.49,3.99,,,,"",1,,,
"71007-16","Collectable Minifigures","Series 12",2014,"Spooky Girl",1,7,2.49,3.99,,,,"",1,,,
"71008-1","Collectable Minifigures","Series 13",2015,"Classic King",1,9,2.49,3.99,,5702015353021,673419231510,"",2,57.4400,,
"71008-2","Collectable Minifigures","Series 13",2015,"Sheriff",1,8,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-3","Collectable Minifigures","Series 13",2015,"Unicorn Girl",1,6,2.49,3.99,,5702015353021,673419231510,"",2,,,
"71008-4","Collectable Minifigures","Series 13",2015,"Snake Charmer",1,7,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-5","Collectable Minifigures","Series 13",2015,"Goblin",1,7,2.49,3.99,,5702015353021,673419231510,"",2,,,
"71008-6","Collectable Minifigures","Series 13",2015,"Paleontologist",1,7,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-7","Collectable Minifigures","Series 13",2015,"Alien Trooper",1,6,2.49,3.99,,5702015353021,673419231510,"",2,,,
"71008-8","Collectable Minifigures","Series 13",2015,"Egyptian Warrior",1,7,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-9","Collectable Minifigures","Series 13",2015,"Carpenter",1,7,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-10","Collectable Minifigures","Series 13",2015,"Evil Wizard",1,10,2.49,3.99,,5702015353021,673419231510,"",2,,,
"71008-11","Collectable Minifigures","Series 13",2015,"Fencer",1,6,2.49,3.99,,5702015353021,673419231510,"",2,,,
"71008-12","Collectable Minifigures","Series 13",2015,"Samurai",1,8,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-13","Collectable Minifigures","Series 13",2015,"Disco Diva",1,8,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-14","Collectable Minifigures","Series 13",2015,"Hot Dog Man",1,5,2.49,3.99,,5702015353021,673419231510,"",10,,,
"71008-15","Collectable Minifigures","Series 13",2015,"Lady Cyclops",1,6,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71008-16","Collectable Minifigures","Series 13",2015,"Galaxy Trooper",1,8,2.49,3.99,,5702015353021,673419231510,"",1,,,
"71009-1","Collectable Minifigures","The Simpsons series 2",2015,"Homer",1,4,2.49,3.99,,,,"",1,1.1300,28.4800,
"71009-2","Collectable Minifigures","The Simpsons series 2",2015,"Marge",1,9,2.49,3.99,,,,"",1,,,
"71009-3","Collectable Minifigures","The Simpsons series 2",2015,"Lisa",1,5,2.49,3.99,,,,"",1,,,
"71009-4","Collectable Minifigures","The Simpsons series 2",2015,"Maggie",1,3,2.49,3.99,,,,"",1,,,
"71009-5","Collectable Minifigures","The Simpsons series 2",2015,"Bart",1,5,2.49,3.99,,,,"",1,,,
"71009-6","Collectable Minifigures","The Simpsons series 2",2015,"Milhouse",1,5,2.49,3.99,,,,"",1,,,
