Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"6869-1","Marvel Super Heroes","Avengers",2012,"Quinjet Aerial Battle",5,735,69.99,69.99,89.99,5702014842434,673419168472,"",1,69.9900,55.0000,
"6914-1","Creator","",2012,"Prehistoric Hunters",,191,12.99,17.99,19.99,5702014838406,673419167185,"",1,20.0000,16.0000,
"7147-1","HERO Factory","",2010,"XPlode",,45,9.99,12.99,17.99,,673419130417,"",1,23.7500,3.3600,
"7148-1","HERO Factory","",2010,"Meltdown",,50,9.99,12.99,17.99,,673419130424,"",1,40.0000,7.0000,
"7156-1","HERO Factory","",2010,"Corroder",,40,9.99,12.99,17.99,,673419130431,"",1,14.4000,4.4800,
"7158-1","HERO Factory","",2010,"Furno Bike",,165,19.99,29.99,39.99,,673419130455,"",1,74.9900,25.0000,
"7279-1","City","Police",2011,"Police Minifigure Collection",4,57,8.49,9.99,12.99,5702014725041,673419142120,"",1,8.1000,5.3300,
"7286-1","City","Police",2011,"Prisoner Transport",2,173,13.99,19.99,24.99,5702014724051,673419142045,"",1,25.0000,6.9000,
"7292-1","Creator","",2012,"Propeller Adventures",,241,17.99,19.99,24.99,5702014839991,673419167215,"",1,19.8000,17.5500,
"7316-1","Space","Life On Mars",2001,"Excavation Searcher",3,471,39.99,50,,,,"",1,49.9500,9.0000,
"7345-1","Creator","",2012,"Transport Chopper",,383,24.99,34.99,44.99,5702014840003,673419167222,"",1,39.9900,20.6000,
"7346-1","Creator","",2012,"Seaside House",1,415,34.99,49.99,59.99,5702014840010,673419167239,"",1,43.5000,32.7300,
"7913-1","Star Wars","The Clone Wars",2011,"Clone Trooper Battle Pack",4,85,11.99,12.99,14.99,5702014734258,673419144490,"",1,13.5000,9.9900,
"7914-1","Star Wars","The Clone Wars",2011,"Mandalorian Battle Pack",4,68,11.99,12.99,14.99,5702014734265,673419144506,"",3,18.0000,4.0000,
"7915-1","Star Wars","Legends",2011,"Imperial V-wing Starfighter",2,139,24.99,19.99,24.99,5702014734272,673419144513,"",1,29.9900,12.0000,
"8002-1","Star Wars","Technic",2000,"Destroyer Droid",,558,,50,,,042884080020,"",1,197.2600,59.9900,
"8083-1","Star Wars","Episode V",2010,"Rebel Trooper Battle Pack",4,79,9.99,11.99,14.99,5702014601222,673419129008,"",1,7.0000,5.5800,
"8411-1","Ben 10: Alien Force","",2010,"ChromaStone",,21,12.99,14.99,19.99,,673419130844,"",1,16.2100,6.9900,
"8699-1","Bionicle","Warriors",2008,"Takanuva",,267,19.55,29.99,,,673419102216,"",1,80.0000,35.0000,
"8831-2","Collectable Minifigures","Series 07",2012,"Aztec Warrior",1,7,1.99,2.99,,,,"",1,,,
"8831-5","Collectable Minifigures","Series 07",2012,"Ocean King",1,7,1.99,2.99,,,,"",1,,,
"8831-7","Collectable Minifigures","Series 07",2012,"Daredevil",1,8,1.99,2.99,,,,"",2,,,
"8831-10","Collectable Minifigures","Series 07",2012,"Jungle Boy",1,7,1.99,2.99,3.49,,,"",1,,,
"8831-12","Collectable Minifigures","Series 07",2012,"Computer Programmer",1,7,1.99,2.99,,,,"",1,,,
"8831-16","Collectable Minifigures","Series 07",2012,"Grandma Visitor",1,7,1.99,2.99,,,,"",1,,,
"9093-1","Racers","",2012,"Bone Cruncher",1,87,7.99,9.99,12.99,,673419167765,"",1,15.0000,5.0000,
"9095-1","Racers","",2012,"Nitro Predator",1,87,7.99,9.99,12.99,,673419167789,"",1,11.4000,,
"9391-1","Technic","",2012,"Tracked Crane",,218,14.99,19.99,24.99,,673419166942,"",1,40.1600,14.8000,
"9398-1","Technic","",2012,"4x4 Crawler",,1327,139.99,199.99,249.99,5702014837522,,"",1,186.0000,127.7700,
"9461-1","Monster Fighters","",2012,"The Swamp Creature",2,70,4.99,6.99,9.99,5702014836440,673419166485,"",1,9.0000,4.9900,
"9490-1","Star Wars","Episode IV",2012,"Droid Escape",4,137,19.99,19.99,24.99,5702014840430,673419167581,"",1,23.6100,10.0000,
"9491-1","Star Wars","The Clone Wars",2012,"Geonosian Cannon",4,132,19.99,19.99,24.99,5702014840447,673419167598,"",1,18.0000,2.0000,
"9492-1","Star Wars","Episode IV",2012,"TIE Fighter",4,413,49.99,54.99,69.99,5702014840454,673419167857,"",1,58.0000,35.0000,
"9498-1","Star Wars","The Clone Wars",2012,"Saesee Tiin's Jedi Starfighter",3,244,29.99,29.99,39.99,5702014840935,673419167901,"",1,34.0900,24.0000,
"9674-1","Star Wars","Planet Set",2012,"Naboo Starfighter & Naboo",1,56,9.99,9.99,12.99,5702014841109,673419168069,"",1,6.0000,3.8700,
"9676-1","Star Wars","Planet Set",2012,"TIE Interceptor & Death Star",1,65,9.99,9.99,12.99,5702014841123,673419168083,"",1,16.6000,10.1400,
"9677-1","Star Wars","Planet Set",2012,"X-wing Starfighter & Yavin 4",1,77,9.99,9.99,12.99,5702014841130,673419168090,"",1,12.9200,5.5900,
"9678-1","Star Wars","Planet Set",2012,"Twin-Pod Cloud Car & Bespin",1,78,9.99,9.99,12.99,5702014841161,673419168106,"",1,5.0000,6.3400,
"9679-1","Star Wars","Planet Set",2012,"AT-ST & Endor",1,65,9.99,9.99,12.99,5702014841215,673419168113,"",1,10.0000,6.9900,
"10227-1","Star Wars","Ultimate Collector Series",2012,"B-Wing Starfighter",,1487,169.99,199.99,249.99,5702014846739,673419169189,"",1,284.1500,250.0000,
"10243-1","Advanced Models","Modular Buildings",2014,"Parisian Restaurant",5,2469,142.99,159.99,189.99,5702015122672,,"",1,125.0000,100.0000,
"10245-1","Advanced Models","Winter Village",2014,"Santa's Workshop",6,883,59.99,69.99,89.99,5702015122696,,"",1,74.7500,67.4300,
"10246-1","Advanced Models","Modular Buildings",2015,"Detective's Office",6,2262,142.99,159.99,199.99,5702015348386,,"",1,125.9200,100.0000,
"10249-1","Advanced Models","Winter Village",2015,"Winter Toy Shop",8,898,64.99,79.99,99.99,,,"",1,69.1700,60.0000,
"10251-1","Advanced Models","Modular Buildings",2016,"Brick Bank",5,2380,129.99,169.99,219.99,5702015591058,,"",1,131.9300,100.0000,
"10699-1","Classic","",2015,"32x32 Sand Baseplate",,1,6.99,7.99,9.99,5702015357135,673419232838,"",1,5.2700,5.1600,
"20200-1","Master Builder Academy","",2011,"Space Designer",1,178,,29.99,,,673419157445,"",1,24.9900,19.0000,
"21103-1","Ideas","Licensed",2013,"The DeLorean Time Machine",2,401,34.99,34.99,44.99,5702015064835,,"",1,75.0000,60.0000,
"21109-1","Ideas","",2014,"Exo-Suit",2,321,29.99,34.99,44.99,,673419222389,"",2,5.5900,28.7700,
"21113-1","Minecraft","Minifig-scale",2014,"The Cave",2,249,19.99,19.99,24.99,5702015296526,673419222242,"",1,10.0000,9.8300,
"21114-1","Minecraft","Minifig-scale",2014,"The Farm",2,262,24.99,29.99,39.99,5702015296533,673419222754,"",1,16.9800,23.5000,
"21303-1","Ideas","Licensed",2015,"WALL-E",,677,39.99,59.99,69.99,,,"",1,63.0400,50.6100,
"30010-1","City","Fire",2010,"Fire Chief",1,31,,2.99,,5702014695474,673419153836,"",1,1.6100,1.5000,
"30012-1","City","Airport",2010,"Microlight",1,34,,3.99,,5702014725997,673419153188,"",1,3.3300,2.4700,
"30053-1","Star Wars","The Clone Wars",2011,"Republic Attack Cruiser",,41,,3.99,,,673419158442,"",1,3.7500,2.2500,
"30058-1","Star Wars","Episode I",2012,"STAP",1,24,,,,,673419182010,"",1,6.1000,,
"30062-1","Castle","Kingdoms",2010,"Target Practice",1,31,,3.99,,,673419147378,"",1,6.2600,2.2500,
"30115-1","Friends","Jungle Rescue",2014,"Jungle Boat",1,31,,4.99,,,,"",1,4.1100,,
"30161-1","DC Comics Super Heroes","Batman",2012,"Batmobile",,45,,4,,,673419184458,"",1,6.8000,5.0000,
"30188-1","Creator","",2014,"Cute Kitten ",,54,,,,5702015122719,,"",1,2.5000,2.6600,
"30202-1","Friends","",2015,"Smoothie Stand",1,37,3.99,,,,,"",5,7.9100,3.0000,
"30225-1","City","Coast Guard",2013,"Coast Guard Seaplane",1,37,,3.99,,5702014992405,673419189002,"",8,3.4900,3.4500,
"30230-1","Space","Galaxy Squad",2013,"Mini Mech",1,28,,3.99,,,673419187817,"",1,2.6800,1.4900,
"30240-1","Star Wars","The Clone Wars",2013,"Z-95 Headhunter",,54,,4.99,,5702014966642,673419188135,"",1,2.6500,4.0000,
"30241-1","Star Wars","The Clone Wars",2013,"Mandalorian Fighter",,49,,4.99,,5702014966659,673419188142,"",1,4.6100,4.2500,
"30242-1","Star Wars","The Clone Wars",2013,"Republic Frigate",,45,,4.99,6.99,,673419189255,"",1,7.7100,3.8900,
"30250-1","Legends of Chima","",2013,"Ewar's Acro Fighter",1,33,,3.99,,5702014976368,673419192286,"",1,1.3500,3.6000,
"30251-1","Legends of Chima","",2013,"Winzar's Pack Patrol",1,38,,,,5702014977464,673419192293,"",1,2.5200,,
